,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구,00-06생활인구,06-11생활인구,11-14생활인구,14-17생활인구,17-21생활인구,21-24생활인구,월요일생활인구,화요일생활인구,수요일생활인구,목요일생활인구,금요일생활인구,토요일생활인구,일요일생활인구,평일생활인구,주말생활인구
58,1001438,2,전통시장,우리시장,303637,33298,33540,51144,47052,49683,88920,92379,62380,30863,30854,47112,40050,41423,41997,43395,41891,41798,45572,47562,210504,93134
59,1001437,2,전통시장,영진시장A동,67112,11059,8677,11872,10866,10211,14428,17998,13576,7570,7450,11361,9158,9340,9316,9377,9344,9333,10027,10377,46710,20404
60,1001436,2,전통시장,사러가시장,89316,11726,11214,13488,14966,15088,22836,17374,17356,11749,13191,18363,11283,12670,12356,12509,12430,12419,13502,13431,62384,26933
61,1001435,2,전통시장,대신시장,103913,14578,12721,15706,17034,16054,27821,19818,19080,15431,16033,21393,12159,15024,14888,14616,14930,14998,15052,14404,74456,29456
62,1001434,2,전통시장,양남시장,29310,2230,4801,6774,6079,4428,4999,4125,6175,5478,5541,5490,2503,4544,4560,4470,4543,4548,3521,3124,22665,6645
63,1001433,2,전통시장,영일시장,335885,26281,70239,79432,61192,48228,50513,37065,60232,66962,73776,73023,24828,47534,48231,49220,48662,49910,49410,42920,243557,92330
64,1001432,2,전통시장,도림시장,21290,2229,3210,3966,3450,3499,4936,6352,4269,2174,2106,3348,3043,2983,2966,3003,2953,2951,3106,3327,14856,6433
65,1001431,2,전통시장,영등포청과시장,143834,17428,20788,27776,22968,21400,33475,40587,30900,16915,16150,21006,18276,20481,20518,20471,20484,20551,20867,20460,102505,41327
66,1001430,2,전통시장,영등포전통시장,1062581,50374,271055,227258,151765,164547,197582,190422,196852,164259,178072,222178,110799,145314,148719,150071,149761,155763,164645,148308,749628,312953
67,1001429,2,전통시장,은행나무시장,131039,18590,14910,16709,19885,21624,39322,22605,24830,18602,21557,28063,15380,18091,18215,18420,18071,18185,20030,20027,90982,40057
68,1001428,2,전통시장,박미시장,20762,2772,2360,3570,3474,3600,4986,4966,4454,2709,2680,3448,2505,3018,3035,2906,3042,2997,2887,2877,14998,5764
69,1001427,2,전통시장,현대시장,584730,60423,76173,82236,89021,104698,172178,165565,111286,62631,63615,97338,84295,82287,81663,81806,81579,82492,87783,87122,409827,174905
70,1001426,2,전통시장,대명시장,22681,2571,3191,3128,3405,4043,6343,2546,3548,3585,4400,5939,2666,3210,3205,3238,3229,3321,3442,3036,16203,6478
71,1001425,2,전통시장,푸른터시장,68953,6749,10761,14379,11485,11936,13645,24939,14333,5573,5136,8511,10460,9843,9860,9897,9743,9907,9754,9949,49250,19703
72,1001424,2,전통시장,남문시장,263588,20113,36061,45001,41435,52501,68476,61191,51387,32450,33610,48992,35958,37602,37299,37413,37062,37774,37794,38646,187150,76440
73,1001423,2,전통시장,독산동 우시장,120336,11443,20608,25404,20485,20844,21552,22719,25363,18257,18349,21916,13731,18044,17993,17594,17966,17957,15845,14938,89554,30783
74,1001422,2,전통시장,오류시장,57185,6158,12371,11509,7612,8074,11462,12476,9845,6430,7149,12099,9187,7795,7611,7913,7598,7921,9123,9226,38838,18349
75,1001421,2,전통시장,개봉중앙시장,54225,9412,7182,7584,8149,8617,13279,15745,10703,5537,5868,9211,7159,7261,7235,7268,7262,7275,8677,9247,36301,17924
76,1001420,2,전통시장,고척근린시장,160041,24110,17175,19016,23470,27687,48583,31484,31702,21074,24471,32342,18969,22195,22139,22331,22017,22209,24588,24561,110891,49149
77,1001419,2,전통시장,가리봉시장,160177,3612,29563,32255,29806,33429,31511,36124,30824,21424,22618,30214,18973,22831,22400,22587,22712,22841,22496,24310,113371,46806
78,1001418,2,전통시장,남구로시장,541177,38160,50127,71195,94144,107250,180300,107397,99669,74180,81459,110278,68195,77532,76385,75848,75734,76439,78710,80528,381938,159238
79,1001417,2,전통시장,구로시장,59806,4659,8091,10579,10587,10238,15653,10205,12051,9614,10114,11441,6382,9002,8955,8691,8926,8777,7780,7675,44351,15455
80,1001416,2,전통시장,공항시장,57350,4185,12076,11590,8719,8820,11962,12003,12438,8285,7694,10159,6773,8309,8209,8406,8383,8497,7939,7608,41804,15547
81,1001415,2,전통시장,방신전통시장,237511,35159,24230,38490,33420,38580,67634,51160,44146,30562,32839,47764,31041,32907,33126,33347,32883,33283,35840,36125,165546,71965
82,1001414,2,전통시장,송화골목시장,199069,56517,20135,22480,33951,24485,41501,31629,37359,30692,33328,43861,22200,28988,28942,28278,29270,29333,28316,25944,144811,54260
