,상권코드,분기,상권구분,상권명,서비스업종,점포수,분기당매출,주중매출금액,주말매출금액,10대매출,20대매출,30대매출,40대매출,50대매출,60대이상매출,00~06매출,06~11매출,11~14매출,14~17매출,17~21매출,21~24매출
13450,1001127,2,발달상권,서울 영등포구 여의도역_1,한식음식점,234,22102933560,19697783162,2405150398,26014479,1487131288,3084410411,2948824787,2309038561,1266973009,15633024,230075162,8285575452,1306547658,8917961292,3347140972
13451,1001126,2,발달상권,서울 양천구 신정네거리역_2,한식음식점,4,134215133,81442470,52772663,0,6109596,13299082,26746818,42364413,41962461,3791745,3370440,25644835,19607535,64615547,17185031
13452,1001125,2,발달상권,학동사거리_2,한식음식점,24,2708218817,1917362832,790855985,7224027,386337424,663032584,409171543,262056699,182315745,0,7890218,315630992,203466534,1495054092,686176981
13453,1001124,2,발달상권,서울 영등포구 영등포시장역,한식음식점,26,665551427,490292934,175258493,153127,122594419,179186744,77338368,103233657,98513342,1509625,18274864,179864442,85203921,362329714,18368861
13454,1001123,2,발달상권,학동사거리_1,한식음식점,74,8467207261,6106949997,2360257264,7864939,621627011,1586164839,1325893889,1027895527,953565290,7439101,67137376,1950533727,992561147,3928546709,1520989201
13455,1001122,2,발달상권,여의도 시범아파트앞,한식음식점,30,1260410962,1199911880,60499082,2763085,107792327,187420075,205448918,131872346,71042649,0,13082063,793124485,150164703,253854179,50185532
13456,1001121,2,발달상권,영등포역_3,한식음식점,24,1135411764,957135509,178276255,550554,100832845,163344942,211299748,226134114,187710111,0,11441379,408988215,99289750,422530694,193161726
13457,1001120,2,발달상권,도산공원사거리_1,한식음식점,25,2564419681,1946553998,617865683,1584574,176069866,475670779,495717394,307242005,226124724,243691,25628376,662190889,329824042,1069490295,477042388
13458,1001119,2,발달상권,영등포역_2,한식음식점,104,8974697476,5989074292,2985623184,33284744,2912966231,2606046367,1230066777,951298039,556824649,24713085,47190493,727521991,737620133,5162639980,2275011794
13459,1001118,2,발달상권,문래동 주민센터,한식음식점,36,1728196647,1664398293,63798354,248472,203600857,360946712,357784773,206347224,104264202,27635787,20489698,1190275443,160884704,234827089,94083926
13460,1001117,2,발달상권,강남구 신사역_2,한식음식점,44,4439442527,3593529947,845912580,3675975,419592053,891146997,860011762,496886662,305347562,207269713,19587519,1138695748,288118042,1662031325,1123740180
13461,1001115,2,발달상권,서울 강남구 강남구청역_2,한식음식점,46,5928140185,4642294155,1285846030,9699169,896062366,1590913161,953285043,604263461,360037744,43973945,106335394,1867303120,601472132,2327322132,981733462
13462,1001114,2,발달상권,강남구 신사역_1,한식음식점,42,2490623915,1873741079,616882836,11239898,412053676,467360386,317089030,362030999,328952375,10302753,111614163,559216531,203750989,1255245873,350493606
13463,1001113,2,발달상권,서울 동작구 노량진1동_1,한식음식점,7,912682458,565211011,347471447,2704550,153453137,179533447,134006405,164038347,184050289,13029141,104044989,142184939,195225187,282479225,175718977
13464,1001112,2,발달상권,서울 강남구 학동역_3,한식음식점,22,1626348016,1430182513,196165503,3149030,180224326,294997486,256746742,158513400,125469319,0,16781902,829281371,116699662,485299367,178285714
13465,1001111,2,발달상권,서울 강남구 강남구청역_1,한식음식점,45,6375912619,5374839883,1001072736,21290609,878149727,1369860605,1000553108,690213233,430989047,1655375,27478614,2701581435,446299924,2177553664,1021343607
13466,1001110,2,발달상권,잠실역,한식음식점,41,3355775828,2906190844,449584984,2953934,432284312,864412004,523747381,446354455,263607830,0,30390471,1402579771,259834284,1142435790,520535512
13467,1001109,2,발달상권,강남구 논현역_4,한식음식점,117,8411734178,6791218925,1620515253,18300341,755021532,1465228589,1313401414,1128084329,826507770,14285613,153000355,2615260090,720307314,3532199721,1376681085
13468,1001108,2,발달상권,학동역,한식음식점,7,1300947702,1160608453,140339249,2000939,186675384,318976868,207530896,139791512,82149079,118738,15371481,563490587,90063083,421743466,210160347
13469,1001107,2,발달상권,방이동 먹자골목,한식음식점,158,16139617434,11192437007,4947180427,80540702,4645948486,4200502565,2093637962,1873389045,1112236040,17325525,123709013,2502768232,1238271737,8561570964,3695971963
13470,1001106,2,발달상권,서울 강남구 학동역_2,한식음식점,12,885969040,833281397,52687643,933152,103031466,201870468,167530532,117490657,46804229,0,1618409,409336300,46107753,248762127,180144451
13471,1001105,2,발달상권,서울 동작구 노량진역,한식음식점,54,3264339942,2406102786,858237156,25829065,1181146578,780449757,377642374,623830729,224076460,8725471,77491549,984347443,336043469,1422901957,434830053
13472,1001104,2,발달상권,삼성역_3,한식음식점,42,3051037196,2772936723,278100473,2336578,193061011,593629472,593751329,403425569,187800413,1953705,71623297,1708262499,172188185,900767530,196241980
13473,1001103,2,발달상권,코엑스,한식음식점,43,3282720658,2608224234,674496424,21879815,589112273,712661795,490001926,334863087,153309068,0,164844855,1683051949,519609896,812051025,103162933
13474,1001102,2,발달상권,서울 강남구 학동역_1,한식음식점,13,691006527,608996258,82010269,487503,104713923,125257272,95630198,90282680,47969858,0,2832324,365300503,68234767,154750825,99888108
13475,1001101,2,발달상권,선정릉역_2,한식음식점,23,2767276270,2498383474,268892796,2889495,397334241,649010843,520542942,330390109,178999274,14548815,15354875,1269026577,160335683,916114229,391896091
13476,1001100,2,발달상권,강남구 논현역_3,한식음식점,10,1102156925,986586286,115570639,1741519,99773646,171202757,154247933,143345701,70343447,4626753,319812,513717241,66213923,357294969,159984227
