,행정동코드,시군구명,행정동명
299,11560720,영등포구,대림3동
300,11560515,영등포구,영등포본동
301,11560535,영등포구,영등포동
302,11560585,영등포구,도림동
303,11560605,영등포구,문래동
304,11590520,동작구,노량진2동
305,11590530,동작구,상도1동
306,11590540,동작구,상도2동
307,11590550,동작구,상도3동
308,11590560,동작구,상도4동
309,11590620,동작구,사당1동
310,11590640,동작구,사당3동
311,11590650,동작구,사당4동
312,11590651,동작구,사당5동
313,11590660,동작구,대방동
314,11590670,동작구,신대방1동
315,11590680,동작구,신대방2동
316,11590605,동작구,흑석동
317,11590510,동작구,노량진1동
318,11590630,동작구,사당2동
319,11620525,관악구,보라매동
320,11620545,관악구,청림동
321,11620575,관악구,행운동
322,11620585,관악구,낙성대동
323,11620615,관악구,중앙동
324,11620625,관악구,인헌동
325,11620630,관악구,남현동
326,11620645,관악구,서원동
327,11620655,관악구,신원동
328,11620665,관악구,서림동
329,11620685,관악구,신사동
330,11620695,관악구,신림동
331,11620715,관악구,난향동
332,11620725,관악구,조원동
333,11620735,관악구,대학동
334,11620605,관악구,은천동
335,11620565,관악구,성현동
336,11620595,관악구,청룡동
337,11620775,관악구,난곡동
338,11620745,관악구,삼성동
339,11620765,관악구,미성동
340,11650510,서초구,서초1동
341,11650520,서초구,서초2동
342,11650530,서초구,서초3동
343,11650531,서초구,서초4동
344,11650540,서초구,잠원동
345,11650550,서초구,반포본동
346,11650560,서초구,반포1동
347,11650570,서초구,반포2동
348,11650580,서초구,반포3동
349,11650581,서초구,반포4동
350,11650590,서초구,방배본동
351,11650600,서초구,방배1동
352,11650610,서초구,방배2동
353,11650620,서초구,방배3동
354,11650621,서초구,방배4동
355,11650651,서초구,양재1동
356,11650652,서초구,양재2동
357,11650660,서초구,내곡동
358,11680510,강남구,신사동
359,11680521,강남구,논현1동
360,11680531,강남구,논현2동
361,11680580,강남구,삼성1동
362,11680590,강남구,삼성2동
363,11680600,강남구,대치1동
364,11680630,강남구,대치4동
365,11680640,강남구,역삼1동
366,11680650,강남구,역삼2동
367,11680655,강남구,도곡1동
368,11680656,강남구,도곡2동
369,11680660,강남구,개포1동
370,11680690,강남구,개포4동
371,11680720,강남구,일원본동
372,11680730,강남구,일원1동
373,11680740,강남구,일원2동
374,11680750,강남구,수서동
375,11680700,강남구,세곡동
376,11680545,강남구,압구정동
377,11680565,강남구,청담동
378,11680610,강남구,대치2동
379,11680670,강남구,개포2동
380,11710510,송파구,풍납1동
381,11710520,송파구,풍납2동
382,11710531,송파구,거여1동
383,11710532,송파구,거여2동
384,11710540,송파구,마천1동
385,11710550,송파구,마천2동
386,11710561,송파구,방이1동
387,11710562,송파구,방이2동
388,11710566,송파구,오륜동
389,11710570,송파구,오금동
390,11710580,송파구,송파1동
391,11710590,송파구,송파2동
392,11710600,송파구,석촌동
393,11710610,송파구,삼전동
394,11710620,송파구,가락본동
395,11710631,송파구,가락1동
396,11710632,송파구,가락2동
397,11710641,송파구,문정1동
398,11710642,송파구,문정2동
399,11710650,송파구,잠실본동
400,11710690,송파구,잠실4동
401,11710710,송파구,잠실6동
