,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구
795,1000700,2,골목상권,도림로147길,304947,45355,35432,57106,58487,45436,63128
796,1000699,2,골목상권,도림로112길,601045,95479,69355,96710,96460,99364,143679
797,1000698,2,골목상권,대림로8길,843942,84532,108652,150614,137206,144241,218696
798,1000697,2,골목상권,대림로7길,243502,15079,31796,46351,40910,47630,61736
799,1000696,2,골목상권,대림로44길,457804,62950,57224,65592,72042,87299,112695
800,1000695,2,골목상권,대림로34길,667440,89756,80606,91995,103342,133968,167772
801,1000694,2,골목상권,대림로31길,566107,78650,69107,97996,92686,98170,129498
802,1000693,2,골목상권,대림로29길,1340221,78509,181547,238646,235708,266560,339252
803,1000692,2,골목상권,대림로22길,1254484,114900,138650,197183,202283,231168,370302
804,1000691,2,골목상권,당산로46길,583312,50603,118670,130841,82577,82509,118112
805,1000690,2,골목상권,당산로38길,509372,85951,86447,106834,81501,62269,86366
806,1000689,2,골목상권,당산로37길,238046,40252,38988,49588,39895,30452,38871
807,1000688,2,골목상권,당산로31길,473998,49932,73693,105010,83761,76769,84830
808,1000687,2,골목상권,국회대로56길,378888,11597,95845,118511,57817,46751,48365
809,1000686,2,골목상권,경인로90길,256197,14619,44124,55150,50633,42641,49030
810,1000685,2,골목상권,경인로80길,351868,25575,51920,73215,65094,59276,76787
811,1000684,2,골목상권,경인로77길,372683,28511,53733,75526,69605,63286,82020
812,1000683,2,골목상권,가마산로61길,651162,112824,75884,93368,95981,114034,159073
813,1000682,2,골목상권,시흥대로94길,509218,48702,74608,99660,80640,82307,123303
814,1000681,2,골목상권,시흥대로84길,1125342,124728,146316,189046,165428,188836,310988
815,1000680,2,골목상권,시흥대로68길,506764,43196,62700,75132,79428,92647,153663
816,1000679,2,골목상권,시흥대로63길,231154,18758,34923,42737,37617,40322,56797
817,1000678,2,골목상권,시흥대로62가길,488657,62673,59612,65882,71627,85372,143490
818,1000677,2,골목상권,시흥대로36길,350733,60867,37351,52665,53118,51737,94996
819,1000676,2,골목상권,시흥대로22길,455331,71365,48270,66691,69764,76838,122403
820,1000675,2,골목상권,시흥대로153길,447280,28119,98443,106265,67078,63677,83698
821,1000674,2,골목상권,시흥대로150길,967159,83788,144523,197356,159405,168487,213600
822,1000673,2,골목상권,시흥대로141길,550465,47470,108990,122349,79736,83739,108183
823,1000672,2,골목상권,시흥대로138길,306986,21896,49173,57207,47349,59293,72069
