,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구
725,1000770,2,골목상권,여의대방로22길,326262,42940,57718,54794,49594,45964,75254
726,1000769,2,골목상권,양녕로26길,900076,181691,111423,151112,137334,113881,204637
727,1000768,2,골목상권,신대방길,458516,39374,78047,81415,69111,82282,108287
728,1000767,2,골목상권,성대로29길,490764,80772,66601,82456,72425,68077,120433
729,1000766,2,골목상권,성대로1길,435905,58246,71147,71065,61187,59992,114269
730,1000765,2,골목상권,서달로8가길,185602,24670,33985,26600,26438,27051,46858
731,1000764,2,골목상권,서달로15길,142064,14378,38951,19658,19162,18928,30988
732,1000763,2,골목상권,서달로14길,129187,18637,18610,18833,19062,18827,35220
733,1000762,2,골목상권,서달로10길,1455284,224128,237203,207624,228482,212463,345385
734,1000761,2,골목상권,상도로62길,1330054,223784,297110,183777,186032,162045,277307
735,1000760,2,골목상권,상도로61길,726010,124818,175234,124462,101022,72494,127978
736,1000759,2,골목상권,상도로47길,670732,75818,201265,94530,79025,76178,143916
737,1000758,2,골목상권,상도로37길,287939,34494,66421,43847,36310,37416,69452
738,1000757,2,골목상권,상도로15길,1056618,142014,173947,178471,150806,147367,264014
739,1000756,2,골목상권,사당로8길,771499,104278,114978,132625,122117,108775,188725
740,1000755,2,골목상권,사당로30길,509812,53452,99871,100154,78543,69040,108752
741,1000754,2,골목상권,사당로2차길,449332,78963,67803,76660,70910,58217,96777
742,1000753,2,골목상권,사당로29길,426926,48566,69384,76656,63379,63499,105440
743,1000752,2,골목상권,사당로26길,516899,47421,110506,118368,68786,64075,107743
744,1000751,2,골목상권,사당로23나길,333335,59142,37321,58235,50622,43449,84566
745,1000750,2,골목상권,사당로23길,578822,92251,64183,94804,92027,79808,155749
746,1000749,2,골목상권,사당로20길,554357,63847,110521,111705,81282,69414,117587
747,1000748,2,골목상권,사당로16길,1184608,177228,190948,202691,189517,152290,271935
748,1000747,2,골목상권,사당로16가길,787556,107229,119649,135507,126971,103238,194964
749,1000746,2,골목상권,만양로8길,1000251,119082,293644,202546,112642,99315,173022
750,1000745,2,골목상권,만양로14길,348184,23997,130983,83411,32973,27925,48896
751,1000744,2,골목상권,등용로14길,915191,95799,183209,167839,145631,127986,194728
752,1000743,2,골목상권,동작대로7길,1104179,92289,239692,227709,153035,147119,244336
753,1000742,2,골목상권,동작대로35길,692087,125237,76782,96021,109213,95971,188863
754,1000741,2,골목상권,동작대로33길,928434,155111,108389,139051,136013,137029,252840
755,1000740,2,골목상권,동작대로29길,296997,48319,32347,46849,43834,43685,81963
756,1000739,2,골목상권,동작대로17길,581887,55576,114310,121407,91192,78812,120590
757,1000738,2,골목상권,대방동2길,345658,48461,64145,64210,55330,47256,66256
758,1000737,2,골목상권,대방동27길,634495,122086,111510,108932,100088,83345,108532
759,1000736,2,골목상권,노량진로6길,953792,102275,179130,160411,126180,149228,236571
760,1000735,2,골목상권,국사봉길,1229817,182851,212670,228768,185292,153191,267045
761,1000734,2,골목상권,국사봉2길,632997,71003,125851,112518,98621,80717,144287
762,1000733,2,골목상권,국사봉1길,531360,61089,91861,90871,76897,74535,136107
763,1000732,2,골목상권,영신로9길,1383315,176990,195445,223553,194782,256819,335725
764,1000731,2,골목상권,영등포로84길,566149,70794,110731,96456,85479,81436,121255
765,1000730,2,골목상권,영등포로80길,899963,78135,157544,160354,123092,135255,245585
766,1000729,2,골목상권,영등포로62길,789995,94327,159412,161044,118272,101869,155070
767,1000728,2,골목상권,영등포로35길,546909,52615,90581,109253,85915,81745,126802
768,1000727,2,골목상권,영등포로27길,444404,49740,71081,96972,64707,61268,100636
769,1000726,2,골목상권,영등포로25길,595463,36934,113325,135000,84221,92339,133644
770,1000725,2,골목상권,여의대방로61길,627361,74967,109869,115962,107854,88661,130049
771,1000724,2,골목상권,여의대방로43나길,581339,137351,83391,76862,87088,78498,118148
772,1000723,2,골목상권,여의대방로39길,258266,44271,32826,45614,41768,39370,54415
773,1000722,2,골목상권,여의대방로35길,1105859,217590,146546,182322,173082,169219,217100
774,1000721,2,골목상권,양평로28길,416494,53211,63353,105296,72316,58070,64246
775,1000720,2,골목상권,양평로22라길,253681,24795,47531,65824,48167,34179,33184
776,1000719,2,골목상권,양평로19길,621041,67552,116533,152695,111294,82156,90811
777,1000718,2,골목상권,신길로60길,1006389,151763,107651,158750,155437,161602,271184
778,1000717,2,골목상권,신길로42길,965560,118604,126766,156686,154766,158639,250100
779,1000716,2,골목상권,신길로42가길,1254261,154217,143904,180312,211902,224572,339354
780,1000715,2,골목상권,신길로39길,466831,67723,59016,66512,69588,81032,122959
781,1000714,2,골목상권,신길로17길,1082923,134458,127678,190546,170074,173183,286985
782,1000713,2,골목상권,선유서로28길,490017,53926,82968,111261,84232,69915,87714
783,1000712,2,골목상권,선유서로25길,332842,39088,49612,79571,61719,44884,57968
784,1000711,2,골목상권,선유서로24길,473627,55835,74012,106431,79095,68808,89449
785,1000710,2,골목상권,선유로55길,396484,34479,91939,105624,60483,48189,55772
786,1000709,2,골목상권,디지털로74길,807305,125766,96908,141715,132024,123244,187649
787,1000708,2,골목상권,디지털로57길,524384,32831,49110,82073,90221,122435,147715
788,1000707,2,골목상권,디지털로37길,884099,58666,91217,145216,158088,190355,240558
789,1000706,2,골목상권,도신로62길,648552,74558,89964,105053,93706,96394,188875
790,1000705,2,골목상권,도신로60길,427621,61671,50947,62631,70830,67792,113750
791,1000704,2,골목상권,도신로29길,356712,56113,42813,54108,50785,63767,89126
792,1000703,2,골목상권,도신로15길,799244,101324,116109,137309,123516,128580,192404
793,1000702,2,골목상권,도림천로21길,1264085,77965,208656,267120,227368,213660,269318
794,1000701,2,골목상권,도림로63길,357362,46918,39220,49874,57969,65585,97794
